year,month,day,Northern_CA,Southern_CA,Northern_BA,Central_BA
2015.25,4,1,712.56,752.08,625.53,5.7523
2015.5,7,1,1650.2,960.23,1239.8,160.62
2015.75,10,1,200.72,18.325,6.4591,2.8474
2016,1,1,35.487,162.26,4.6557,2.3625
2016.25,4,1,651.18,572.84,78.649,2.4307
2016.5,7,1,1689.1,653.66,208.58,5.7259
2016.75,10,1,561.38,236.16,176.55,63.295
2017,1,1,34.384,252.97,120.07,104.65
2017.25,4,1,100.11,631.62,339.09,276.46
2017.5,7,1,862.88,926.8,385.68,501.84
2017.75,10,1,425.02,158.19,34.302,233.3
2018,1,1,56.533,281.91,33.035,544.17
2018.25,4,1,1082.1,1283.2,1107.1,2099.6
2018.5,7,1,1989.6,990.78,954.98,770.37
2018.75,10,1,339.19,36.041,26.757,37.453
